filename	title_to_altLabel	token count	bgrf	title_wikidata	lang	full_work_non_modernized
Abbes_Voyage	Voyage dans les espaces	5601	58.5	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Abbes_Voyage.txt
AndreSerieys_Comte	Le comte d'A*** ou les aventures d'un jeune voyageur sorti de la cour de France en 1789	68837	00.39	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/AndreSerieys_Comte.txt
Anonym_Enfant	L'enfant du bordel	31195	00.16	Q72060038	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonym_Enfant.txt
Anonym_Histoire	Histoire d'un peuple nouveau	42915	57.1	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonym_Histoire.txt
Anonym_Suzon	Mémoires de Suzon, soeur de Dom Bougre	29294	83.9	Q93956625	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonym_Suzon.txt
Anonyme_Venus	Vénus en rut ou Vie d'une célèbre libertine	41764	70.18	Q72044257	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonyme_Venus.txt
Anonyme_Zoloe	Zoloé et ses deux acolythes	18089	00.37	Q72044301	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Anonyme_Zoloe.txt
Arnaud_Adelson	Adelson et Salvini, anecdote anglaise	26434	72.10	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Adelson.txt
Arnaud_Anne	Anne Bell, histoire anglaise	18692	69.12	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Anne.txt
Arnaud_Bal	Le Bal de Venise	17326	51.9	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Bal.txt
Arnaud_Batilde	Bathilde ou l'héroïsme de l'amour, anecdote historique par M. d'Arnaud	15703	67.14	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Batilde.txt
Arnaud_Clary	Clary ou le retour à la vertu récompensé	14372	67.15	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Clary.txt
Arnaud_Epoux	Les époux malheureux	76960	83.15	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Epoux.txt
Arnaud_Fanny	Fanny, histoire anglaise	17786	64.14	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Fanny.txt
Arnaud_Julie	Julie ou l'heureux repentir	17134	67.16	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Julie.txt
Arnaud_Lucie	Lucie et Mélanie ou les deux sœurs généreuses	13026	67.17	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Lucie.txt
Arnaud_Matinees	Les matinées	76569	99.43	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Matinees.txt
Arnaud_Nancy	Nancy ou les malheurs de l'imprudence et de la jalousie	17520	67.18	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Nancy.txt
Arnaud_Sargines	Sargines, nouvelle	22149	72.11	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Sargines.txt
Arnaud_Selicourt	Sélicourt, nouvelle	18765	69.13	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Selicourt.txt
Arnaud_Sidney	Sidney et Volsan	18068	66.9	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Sidney.txt
Arnaud_Zenothemis	Zénothémis	18689	73.9	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Arnaud_Zenothemis.txt
BarbeMarbois_Parisienne	La Parisienne en province	28983	69.14	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/BarbeMarbois_Parisienne.txt
Barthe_Femme	La jolie femme ou la femme du jour	62820	69.15	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Barthe_Femme.txt
Bastide_Maison	La Petite Maison	6933	62.9	Q19187345	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bastide_Maison.txt
Beauharnais_Lettres	Lettres de Stéphanie	130171	78.12	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beauharnais_Lettres.txt
Beaumont_Belle	La Belle et la Bête	5599	56.19	Q60193373	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beaumont_Belle.txt
Beaumont_Clarice	La nouvelle Clarice	135446	67.36	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beaumont_Clarice.txt
Beaumont_Prince	Le Prince Chéri	4674	56.19	Q106165259	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beaumont_Prince.txt
Beckford_Vathek	Vathek: conte arabe	35155	87.25	Q54548	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Beckford_Vathek.txt
Bellin_Nuit	La Nuit anglaise	47041	99.44	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bellin_Nuit.txt
Benoist_Elisabeth	Elisabeth	84754	66.11	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Benoist_Elisabeth.txt
Benouville_Pensees	Les pensées errantes	39065	58.8	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Benouville_Pensees.txt
Bernardin_Chaumiere	Chaumière Indienne	13551	91.43	Q42187814	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bernardin_Chaumiere.txt
Bernardin_Paul	Paul et Virginie	64366	88101	Q2293012	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Bernardin_Paul.txt
Berquin_Enfants	L'ami des Enfants	38322	82.14	Q42185919	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Berquin_Enfants.txt
Blanchard_Philetas	Philétas	27292	00.50	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Blanchard_Philetas.txt
Boismortier_Histoire	Histoire de Jacques Féru	7294	66.12	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Boismortier_Histoire.txt
Boufflers_Reine	La Reine de Golgonde	4444	61.6	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Boufflers_Reine.txt
Brument_Henriette	Henriette de Wolmar	20729	68.17	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Brument_Henriette.txt
CastilhonJL_Zingha	Zingha, reine d'Angola	42517	69.23	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/CastilhonJL_Zingha.txt
CastilhonJ_Robert	Histoire de Robert le Diable, duc de Normandie; et de Richard sans peur, son fils	56536	69.22	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/CastilhonJ_Robert.txt
Cazotte_Diable	Le Diable amoureux	26070	72.17	Q1994609	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Cazotte_Diable.txt
Cazotte_Honneur	L'Honneur perdu et recouvré	14965	88.41	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Cazotte_Honneur.txt
Cazotte_Ollivier	Ollivier	59530	63.19	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Cazotte_Ollivier.txt
Charriere_Caliste	Caliste ou continuation des Lettres écrites de Lausanne	29960	87.30	Q19136090	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Caliste.txt
Charriere_Femmes	Trois Femmes	40344	96.18	Q96575163	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Femmes.txt
Charriere_Lausanne	Lettres écrites de Lausanne	23794	85.24	Q19136090	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Lausanne.txt
Charriere_Neuchateloises	Lettres neuchâteloises	19651	84.18	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Neuchateloises.txt
Charriere_Noble	Le noble	7007	63.21	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Noble.txt
Charriere_Observations	Observations et conjectures politiques	4815	88.43	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Observations.txt
Charriere_Ruines	Les Ruines d'Yedburg	17383	98.35	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Ruines.txt
Charriere_Sainte	Sainte Anne	26210	98.35	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Charriere_Sainte.txt
Chaussard_Diable	Le Nouveau Diable boiteux	83995	99.57	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Chaussard_Diable.txt
Chevrier_Colporteur	Le Colporteur	43000	62.11	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Chevrier_Colporteur.txt
Chevrier_Magakou	Ma-Gakou histoire japonnoise	15679	52.18	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Chevrier_Magakou.txt
Colombe_Plaisirs	Les plaisirs d'un jour ou la journée d'une provinciale à Paris	41910	64.41	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Colombe_Plaisirs.txt
Constant_Laure	Laure, ou Lettres de quelques personnes de Suisse	274881	86.27	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Constant_Laure.txt
Constant_Mari	Le mari sentimental	39223	83.22	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Constant_Mari.txt
Cottin_Claire	Claire d'Albe	40093	99.62	Q2975140	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Cottin_Claire.txt
Crebillon_Atheniennes	Lettres athéniennes extraites du porte-feuille d'Alcibiade	181353	71.23	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Crebillon_Atheniennes.txt
Crebillon_Conte	Ah quel conte !	135939	54.13	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Crebillon_Conte.txt
Crebillon_Nuit	La Nuit et le moment, ou les Matines de Cythère	32279	55.16	Q30738391	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Crebillon_Nuit.txt
DamiensGomicourt_Dorval	Dorval ou mémoires pour servir à l'histoire des moeurs du XVIIIe siècle	73461	69.30	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/DamiensGomicourt_Dorval.txt
Denon_Point	Point de lendemain	7836	79.15	Q929438	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Denon_Point.txt
Diderot_Ceci	Ceci n'est pas un conte	7071	98.38	Q2943673	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Diderot_Ceci.txt
Diderot_Jacques	Jacques le fataliste et son maître	93744	97.21	Q945216	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Diderot_Jacques.txt
Diderot_Neveu	Le Neveu de Rameau	33211	1	Q1336786	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Diderot_Neveu.txt
Diderot_Oiseau	L'oiseau blanc	21719	98.38	Q3204457	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Diderot_Oiseau.txt
Diderot_Pensees	Pensées philosophiques	9631	77.33	Q3374872	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Diderot_Pensees.txt
Diderot_Religieuse	La Religieuse	65542	97.22	Q1209658	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Diderot_Religieuse.txt
Diderot_Supplement	Supplément au voyage de Bougainville	15831	98.38	Q1765222	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Diderot_Supplement.txt
Doppet_Memoires	Mémoires de Mme de Warens	34946	86.32	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Doppet_Memoires.txt
Dorat_Malheurs	Les Malheurs de l'inconstance ou Lettres de la marquise de Circé et du comte de Mirbelle	68518	72.19	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Dorat_Malheurs.txt
Dorat_Sacrifices	Les Sacrifices de l'amour	75519	71.25	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Dorat_Sacrifices.txt
Dorvigny_Tante	Ma tante Geneviève ou je l'ai échappé belle	95686	00.64	Q83154599	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Dorvigny_Tante.txt
Duclos_Memoires	Mémoires pour servir à l'histoire des mœurs du XVIII. siècle	37842	51.22	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Duclos_Memoires.txt
Ducray_Cinquante	Les Cinquante francs de Jeannette	72561	99.76	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Ducray_Cinquante.txt
Ducray_Coelina	Coelina ou l'enfant du mystère	244472	99.77	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Ducray_Coelina.txt
Ducray_Soirees	Les Soirées de la chaumière	309807	95.18	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Ducray_Soirees.txt
Ducray_Victor	Victor ou l'enfant de la forêt	170538	97.23	Q109921696	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Ducray_Victor.txt
Dulaurens_Compere	Le Compère Mathieu	145308	66.21	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Dulaurens_Compere.txt
Dulaurens_Imirce	Imirce ou la Fille de nature	69039	65.21	Q104184436	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Dulaurens_Imirce.txt
Duvernet_Devotions	Les dévotions de Mme de Bethzamooth et les Pieuses facéties de M. de Saint-Ognon	16596	89.58	Q98125600	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Duvernet_Devotions.txt
Duvernet_Guillaume	Monsieur Guillaume	9624	81.18	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Duvernet_Guillaume.txt
Duvernet_Retraite	La retraite, les tentations et les confessions de madame la marquise de Montcornillon	13040	90.34	Q98125600	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Duvernet_Retraite.txt
Falconet_Debut	Le début ou les premières aventures du chevalier de ***	27251	70.45	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Falconet_Debut.txt
Fievee_Dot	La Dot de Suzette	33262	98.41	Q107275176	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Fievee_Dot.txt
Florian_Estelle	Estelle	33715	88.53	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Florian_Estelle.txt
Florian_Galatee	Galatée	21849	83.26	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Florian_Galatee.txt
Florian_Numa	Numa Pompilius	71430	86.34	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Florian_Numa.txt
Fourqueux_Zely	Zély	25494	75.28	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Fourqueux_Zely.txt
Fyot_Memoires	Mémoires de monsieur de Berval	25974	52.23	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Fyot_Memoires.txt
Genlis_Adele	Adèle et Théodore	262122	82.20	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Genlis_Adele.txt
Genlis_Chevaliers	Les Chevaliers du cygne	193036	95.20	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Genlis_Chevaliers.txt
Genlis_Emigres	Les petits Emigrés	127940	98.44	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Genlis_Emigres.txt
Genlis_Meres	Les mères rivales ou la calomnie	224733	00.75	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Genlis_Meres.txt
Gerard_Comte	Le Comte de Valmont	180258	74.15	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Gerard_Comte.txt
Gilbert_Familles	Les Familles de Darius et d'Hidarne	56923	70.46	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Gilbert_Familles.txt
Gimat_Voyage	Le voyage de Mantes	27279	53.17	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Gimat_Voyage.txt
Gorjy_Voyage	Nouveau voyage sentimental	19016	84.27	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Gorjy_Voyage.txt
Grandin_Paulin	Paulin ou les avantures du comte de Walter	39682	92.17	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Grandin_Paulin.txt
Jacquin_Parisiennes	Lettres parisiennes sur le désir d'être heureux	61483	58.13	0	fr	https://github.com/MiMoText/roman18/blob/master/plain/files_non_modernized/Jacquin_Parisiennes.txt
